file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\k3s\src\test\java\org\testcontainers\k3s\Fabric8K3sContainerTest.java,org.testcontainers.k3s.Fabric8K3sContainerTest,dummyStartablePod/0,FALSE,63,7,1,1,0,1,14,4,1,1,0,14,0,0,0,0,0,0,4,2,1,0,0,0,0,0,9,2,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\main\java\org\testcontainers\images\AgeBasedPullPolicy.java,org.testcontainers.images.AgeBasedPullPolicy,"shouldPullCached/2[org.testcontainers.utility.DockerImageName,org.testcontainers.images.ImageData]",FALSE,20,2,1,1,0,3,5,8,1,2,2,5,0,0,0,0,0,0,1,1,2,0,1,0,0,0,14,4,1,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\postgresql\src\test\java\org\testcontainers\jdbc\postgresql\PostgreSQLJDBCDriverTest.java,org.testcontainers.jdbc.postgresql.PostgreSQLJDBCDriverTest,data/0,FALSE,14,1,0,0,0,1,2,3,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,9,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldIgnoreUnknownStructure/0,FALSE,50,2,2,0,2,1,3,6,0,0,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,8,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldObtainImageFromDockerfileBuild/0,FALSE,93,2,1,0,1,1,6,5,0,2,0,6,0,0,0,0,0,0,8,0,2,0,0,0,0,0,22,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldRejectContainerNameV2/0,FALSE,35,2,0,0,0,1,3,6,0,0,0,3,0,0,0,0,0,0,7,0,0,0,1,0,0,1,16,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldRejectContainerNameV1/0,FALSE,27,2,0,0,0,1,3,6,0,0,0,3,0,0,0,0,0,0,4,0,0,0,1,0,0,1,16,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldObtainImageFromDockerfileBuildWithContext/0,FALSE,107,2,1,0,1,1,6,5,0,2,0,6,0,0,0,0,0,0,8,0,2,0,0,0,0,0,26,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldValidate/0,FALSE,17,2,0,0,0,1,3,7,0,1,0,3,0,0,0,0,0,0,2,0,1,0,1,0,0,1,20,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldObtainImageNamesV1/0,FALSE,65,2,1,0,1,1,6,5,0,2,0,6,0,0,0,0,0,0,8,0,2,0,0,0,0,0,21,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\containers\ParsedDockerComposeFileValidationTest.java,org.testcontainers.containers.ParsedDockerComposeFileValidationTest,shouldObtainImageNamesV2/0,FALSE,79,2,1,0,1,1,6,5,0,2,0,6,0,0,0,0,0,0,8,0,2,0,0,0,0,0,21,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\DependenciesTest.java,org.testcontainers.junit.DependenciesTest$InvocationCountingStartable,start/0,FALSE,157,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\core\src\test\java\org\testcontainers\junit\DependenciesTest.java,org.testcontainers.junit.DependenciesTest$InvocationCountingStartable,stop/0,FALSE,162,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\r2dbc\src\main\java\org\testcontainers\r2dbc\ConnectionPublisher.java,org.testcontainers.r2dbc.ConnectionPublisher$StateMachineSubscription$SubscriptionState,enter/0,FALSE,60,0,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\db2\src\main\java\org\testcontainers\containers\Db2ContainerProvider.java,org.testcontainers.containers.Db2ContainerProvider,supports/1[java.lang.String],FALSE,8,0,0,0,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\db2\src\main\java\org\testcontainers\containers\Db2ContainerProvider.java,org.testcontainers.containers.Db2ContainerProvider,newInstance/1[java.lang.String],FALSE,18,3,4,1,3,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\db2\src\main\java\org\testcontainers\containers\Db2ContainerProvider.java,org.testcontainers.containers.Db2ContainerProvider,newInstance/0,FALSE,13,2,1,0,1,1,1,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\r2dbc\src\main\java\org\testcontainers\r2dbc\R2DBCDatabaseContainerProvider.java,org.testcontainers.r2dbc.R2DBCDatabaseContainerProvider,supports/1[org.testcontainers.r2dbc.ConnectionFactoryOptions],FALSE,16,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,FALSE
C:\Users\OOPS\Downloads\testcontainers-java-master\modules\r2dbc\src\main\java\org\testcontainers\r2dbc\R2DBCDatabaseContainerProvider.java,org.testcontainers.r2dbc.R2DBCDatabaseContainerProvider,createContainer/1[org.testcontainers.r2dbc.ConnectionFactoryOptions],FALSE,18,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,FALSE
